編號,語言,詞語,轉寫1,轉寫2,翻譯,
PWN004,排灣語,bibi,,,鴨子,
PWN006,排灣語,caqi,,,,
PWN011,排灣語,culjuk,,,條型米糕,
PWN016,排灣語,djamay,,,菜餚,
PWN019,排灣語,maculju,,,炎熱,
PWN021,排灣語,puluk,,,,
PWN026,排灣語,qarizang,,,長豆,
PYU001,卑南語,ganggang,,,犁；犁田,
PYU006,卑南語,maymay,,,鴨子,
SPA001,西班牙語,peso,,,披索(貨幣名),
SXR001,拉阿魯哇語,mairangʉ,,,地瓜，番薯,
ZHO001,華語,冰箱,,,,
ZHO006,華語,校長,,,,
ZHO011,華語,修女,,,,
ZHO016,華語,豆芽,,,,
ZHO021,華語,水管,,,,
ZHO026,華語,電冰箱,,,,
ZHO031,華語,客家人,,,,
ZHO036,華語,菜刀,,,,
ZHO041,華語,空心菜,,,,
ZHO046,華語,麵條,,,,
