編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
700701,23,dinding,,3230237,,U,蝸牛,07動物(含昆蟲),,,,
700702,23,dingki,JPN051,3230335,,U,電燈,09物品(不含食品),,,,
700704,23,dingwa,,3230313,,B,電話,09物品(不含食品),,,,
700723,23,djalamiyang,,3230514,,U,稻草,15農耕,,,,
700724,23,djalan,PAN30439,3230380,,I,道路,10山川地理,,,,
700727,23,djaljaw,,3230951,,S,很快,32特徵,,,,
700732,23,djaljengen,,3230718,,S,綁,26肢體動作,,,,
700735,23,djaljun,,3230642,,I,抵達,25行動,,,,
700739,23,djalunuq,,3230277,,S,木耳,08植物,,,,
700740,23,djalut,,3230970,,U,滑,32特徵,,,,
700744,23,djamapiq,,3230761,,S,壓扁,26肢體動作,,,,
700745,23,djamay,,3230579,,I,菜餚,21食物(非植物),,,,
700752,23,djamuq,PAN30027,3230144,,I,血,06身體部位,,,,
700753,23,djanau,,3230387,,S,湖泊,10山川地理,,,,
700756,23,djapalj,PAN30010,3230132,,B,大腿,06身體部位,,,,
700762,23,djaqis,PAN29842,3230146,,I,額頭,06身體部位,,,,
700766,23,djaravac,,3230662,,U,走動,25行動,,,,
700772,23,djaum,PAN30443,3230324,,I,針,09物品(不含食品),,,,
700789,23,djeljep,,3230449,,S,牆壁,12建築,,,,
700791,23,djeljesljesem,,3230604,,U,紫色的,22顏色,,,,
700799,23,djemaljun,,3230642,,I,抵達,25行動,,,,
700802,23,djemameq,,3230713,,S,捕捉,26肢體動作,,,,
700805,23,djemapes,,3230708,,U,吹,26肢體動作,,,,
700809,23,djemaulj,,3230812,,U,邀請,28認知感官,,,,
700809,23,djemaulj,,3230815,,U,叫喚(如餵雞前會叫喚),28認知感官,,,,
700810,23,djemaung,,3230881,,U,醃漬,30生活作息,,,,
700811,23,djemavac,,3230638,,B,走路,25行動,,,,
700813,23,djemavis,,3230758,,I,撲抓,26肢體動作,,,,
700815,23,djemedj,,3230482,,B,天天,13時間,,,,
700819,23,djemeli,,3230942,,S,笑,32特徵,,,,
700825,23,djemilaq,PAN30254,3230823,,S,舔,28認知感官,,,,
700832,23,djemuas,,3231012,,I,擦拭,33助動詞,,,,
700832,23,djemuas,,3230763,,S,擦拭,26肢體動作,,,,
700833,23,djemukul,,3230688,,S,打(人),26肢體動作,,,,
700834,23,djemulat,,3230752,,S,踩踏,26肢體動作,,,,
700849,23,djilay,,3230165,,I,痰,06身體部位,,,,
700850,23,djilj,,3230180,,S,臀部,06身體部位,,,,
700865,23,djinumulj a qipu,,3230392,,S,土堆,10山川地理,,,,
700866,23,djinumuljan,,3230731,,S,堆積,26肢體動作,,,,
700869,23,djiruwac,,3230825,,S,睜眼,28認知感官,,,,
700874,23,djuadjuay,,3230591,,S,糯米,21食物(非植物),,,,
700879,23,djukudjuku,,3230760,,U,(用腳)踏,26肢體動作,,,,
700887,23,djumaken,,3231041,,S,找到(主焦/受詞),34其他,,,,
700898,23,drail,,3230195,,B,猴子,07動物(含昆蟲),,,,
700903,23,dramiqi,,3230166,,U,甲狀腺腫,06身體部位,,,,
700904,23,dramiya,,3230507,,I,鐮刀,15農耕,,,,
700912,23,dregedregan,,3230179,,S,關節,06身體部位,,,,
700913,23,dremadranga,,3231039,,U,找碴,34其他,,,,
700915,23,dremadrukungan,,3230684,,S,彎腰,26肢體動作,,,,
700917,23,dremaian,,3230682,,I,跳舞,26肢體動作,,,,
700921,23,dremaudraw,,3230808,,B,忘記,28認知感官,,,,
